date,location,species code,sex (M/F),age/pelage (J/A/S),Rat ID,left eartag,right eartag,RFID,new animal? (Y/N),total mass (g),"female (perforate, partially perforate, imperforate)",female nipple size (S/M/L),pregnant? (Y/N/Possibly),fleas,ticks,"male (scrotal, nonscrotal)",Notes,,,
16/6/13,WC14,Nefu,F,A,5507,5507,,1B7970256F,N,205,I,M,N,Y,N,,went back into WC14,,,
16/6/13,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,220,I,S,N,Y,N,,Didn't go back into WC12 when released,,,
16/6/13,WC5B,Nefu,M,A,5529,5529,,1B79701628,Y,265,,,,Y,N,NS,ears have some scratches/tares,,,
16/6/13,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,205,P,M,N,N,N,,Docile during handling- went back into house,,,
16/6/13,WC34,Nefu,M,A,5566,5566,,1B7970227A,Y,165,,,,N,N,NS,,,,
16/6/13,WC27,Nefu,F,A,5584,5584,,1B797026B3,N,185,I,M,N,,,,Dried milk on nipples,,,
16/6/13,WC37,Nefu,M,S,5774,5774,,1B7970153D,N,125,,,,N,N,NS,New pit-tag was applied.,,,
16/6/13,WC7,Nefu,M,S,5768,5768,,1B79702B9D,Y,165,,,,N,N,NS,,,,
16/6/13,WC10,Nefu,M,S,5798,5798,,1B797019C1,Y,135,,,,Y,N,NS,,,,
16/6/13,WC30,Nefu,F,S,6323,6323,,1B7970208E,Y,,I,S,N,Y,N,,,,,
16/6/13,WC12,Nefu,M,S,6350,6350,,1B79701739,N,125,,,,N,N,NS,,,,
16/6/13,WC39,Nefu,F,A,6351,6351,,1B79702761,N,155,I,M,N,N,N,,back into WC39,,,
16/6/13,WC2B,Nefu,M,A,6371,6371,,1B79701C9E,Y,230,,,,N,N,NS,,,,
16/6/13,WC6,Nefu,F,J,6372,6372,,1B7970231C,Y,100,I,S,N,N,N,,Went back into house,,,
16/6/13,WC31,Nefu,M,A,6373,6373,,1B7970211C,Y,170,,,,N,Y,NS,Tail has been cut off (previous injury- looks healed),,,
13/7/13,WC38,Nefu,M,J,5503,5503,,1B79702D1D,Y,105,,,,Y,N,NS,,,,
13/7/13,WC35,Nefu,F,A,5536,5536,,1B797025AB,N,225,,,,,,NS,Chopped tail,,,
13/7/13,WC27,Nefu,M,J,5540,5540,,1B79701E5D,Y,115,,,,,,NS,,,,
13/7/13,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,140,I,S,N,,,,,,,
13/7/13,WC11,Nefu,M,S,5768,5768,,1B79702AC8,N,,,,,,,,"No pit tag, new pit tag put in",,,
13/7/13,WC37,Nefu,M,S,5774,5774,,1B7970153D,N,133,,,,,,NS,,,,
13/7/13,WC22,Nefu,F,S,5789,5789,,1B79702A6D,N,138,P,S,N,Y,,,No pit tag,,,
13/7/13,WC29,Nefu,F,A,5793,,5793,1B7970249B,N,,I,L,N,,,,Dried milk on nipples,,,
13/7/13,WC2B,Nefu,M,A,6371,6371,,1B79701C9E,N,235,,,,,,NS,,,,
13/7/13,WC26,Nefu,F,J,6372,6372,,1B7970231C,N,119,,,,,,,animal incorrectly sexed as male on datasheet,,,
13/7/13,WC31,Nefu,M,A,6373,6373,,1B7970211C,N,183,,,,,,NS,Chopped tail,,,
13/7/13,WC13,Nefu,M,A,5799,,5799,1B797020B2,Y,165,,,,,,NS,end of tail is missing,,,
27/7/13,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,217,I,M,N,N,N,NS, ,,,
27/7/13,WC8D,Nefu,F,,5758,5758,,,Y,135,I,S,N,N,,,"gash healing on back, did not pit tag",,,
27/7/13,WC8B,Nefu,F,A,5773,5773,,1B79701B55,N,190,I,M,N,N,,,,,,
10/8/13,WC38,Nefu,M,J,5503,5503,,1B79702D1D,N,125,,,,,,NS,eartag area looks infected,,,
10/8/13,WC26,Nefu,F,S,5506,5506,,1B79702B38,Y,130,I,S,N,Y,Y,,,,,
10/8/13,WC43,Nefu,M,A,5521,5521,,1B797024A6,Y,295,,,,,,NS,,,,
10/8/13,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,105,P,M,N,,,,Dried milk on nipples,,,
10/8/13,WC8C,Nefu,M,A,5537,5537,,1B7970135B,Y,227,,,,,,NS,,,,
10/8/13,WC40,Nefu,M,A,5542,5542,,1B79702786,Y,235,,,,,,NS,,,,
10/8/13,WC28,Nefu,F,S,5545,5545,,1B797022CF,Y,207,I,L,N,,,,,,,
10/8/13,WC8D,Nefu,F,,5758,5758,,,N,,,,,Y,,,escaped,,,
10/8/13,WC11,Nefu,M,S,5768,5768,,1B79702AC8,N,170,,,,,,NS,,,,
10/8/13,WC2B,Nefu,F,S,5770,5770,,1B79701FA3,Y,135,I,S,N,,,,,,,
10/8/13,WC37,Nefu,M,S,5774,5774,,1B7970153D,N,145,,,,,,NS,,,,
10/8/13,WC35,Nefu,M,A,5799,5799,,1B797020B2,N,175,,,,,,NS,,,,
10/8/13,WC9,Nefu,M,S,6325,6325,,1B79701A33,Y,190,,,,,,NS,,,,
10/8/13,WC39,Nefu,F,A,6351,6351,,1B79702761,N,175,I,M,N,,,,,,,
10/8/13,WC6,Nefu,F,S,6372,6372,,1B7970231C,N,135,,,,,,,amimal incorrectly sexed as male on datasheet,,,
10/8/13,WC25,Nefu,M,J,5540,5540,,1B79701E5D,N,135,,,,,,NS,,,,
24/8/13,WC1A,Nefu,M,A,5730,5730,,1B797028E3,N,295,,,,N,N,NS,,,,
24/8/13,WC22,Nefu,M,J,5764,5764,,1B79700260,Y,85,,,,Y,,NS,,,,
24/8/13,WC12,Nefu,M,S,5768,5768,,1B79702AC8,N,155,,,,N,N,NS,,,,
24/8/13,WC32,Nefu,F,S,5789,5789,,1B7970286C,N,,,,,,,,New Tag,,,
24/8/13,WC33,Nefu,M,S,5799,,5799,1B797020B2,N,165,,,,N,N,NS,,,,
31/8/13,WC25,Nefu,F,S,5506,5506,,1B79702B38,N,145,I,S,N,N,N,,,,,
31/8/13,WC8C,Nefu,M,A,5529,5529,,1B79701628,N,260,,,,N,N,NS,,,,
31/8/13,WC28,Nefu,F,A,5545,5545,,1B797022CF,N,205,I,S,N,N,N,,,,,
31/8/13,WC32,Nefu,M,J,5764,5764,,1B79700260,N,85,,,,N,N,NS,,,,
31/8/13,WC12,Nefu,M,S,5768,5768,,1B79702AC8,N,155,,,,N,N,NS,,,,
31/8/13,WC14,Nefu,F,S,5770,5770,,1B79701FA3,N,,I,S,N,N,N,,"recorded weight is too high (235), probably in error, so left blank.",,,
31/8/13,WC37,Nefu,M,S,5774,5774,,1B7970153D,N,165,,,,N,N,NS,,,,
31/8/13,WC35,Nefu,M,A,5779,5779,,,N,225,,,,N,N,NS,"ear tag possibly incorrect.  No other record of 5779, could be 5799 M who was caught at same locatio on 8/10/13",,,
31/8/13,WC22,Nefu,F,S,5789,5789,,1B7970286C,N,140,,,,,,,,,,
31/8/13,WC24B,Nefu,F,A,5793,5793,,1B7970249B,N,185,I,M,N,N,N,,,,,
31/8/13,WC39,Nefu,F,A,6351,6351,,1B79702761,N,140,I,M,N,N,N,,Chopped tail,,,
31/8/13,WC6,Nefu,F,S,6372,6372,,1B7970231C,N,145,I,S,N,Y,N,,,,,
31/8/13,WC30,Nefu,F,A,6400,6400,,1B79701EB9,Y,205,I,L,N,Y,N,,,,,
7/9/13,WC26,Nefu,F,S,5506,5506,,1B79702B38,N,135,I,S,N,Y,N,,,,,
7/9/13,WC43,Nefu,M,A,5521,5521,,1B797024A6,N,285,,,,N,N,NS,,,,
7/9/13,WC18,Nefu,M,A,5592,5592,,1B79701A40,N,275,,,,N,N,NS,,,,
7/9/13,WC32,Nefu,M,J,5764,5764,,1B79700260,N,87,,,,N,N,NS,,,,
7/9/13,WC14,Nefu,F,S,5770,5770,,1B79701FA3,N,130,I,S,N,N,N,,,,,
7/9/13,WC22,Nefu,F,S,5789,5789,,1B7970286C,N,140,I,S,N,N,N,,,,,
7/9/13,WC6,Nefu,F,S,6372,6372,,1B7970231C,N,135,I,S,N,Y,N,,,,,
7/9/13,WC30,Nefu,F,A,6400,6400,,1B79701EB9,N,205,I,M,N,N,N,,New pit tag,,,
7/9/13,WC35,Nefu,M,S,5799,,5799,1B797020B2,N,185,,,,N,N,NS,,,,
3/10/13,DP2,Nefu,M,A,5754,5754,,,Y,265,,,,Y,N,NS,2 botflies on neck. Radio collar 4.083,,,
3/10/13,DP3,Nefu,F,S,5210,5210,,,Y,175,I,S,N,Y,Y,,Radio Collar 4.071,,,
3/10/13,DP4,Nefu,F,A,6389,6389,,,Y,225,I,M,N,Y,N,,"Bot fly on neck, Radio collar 4.023",,,
3/10/13,DP12,Nefu,F,A,5792,5792,,,Y,220,I,M,N,N,N,,Radio collar 4.033,,,
3/10/13,DP3,Nefu ,M,A,6364,6364,,,Y,255,,,,N,N,NS,"bot fly on neck, Radio collar 4.042",,,
3/10/13,DP2,Nefu,F,S,6394,6394,,,Y,145,I,S,N,N,N,,Radio collar 4.013,,,
3/10/13,DP1,Nefu,F,A,6375,6375,,,Y,200,I,M,N,N,N,,"Radio collar 4.061, stumpy tail",,,
3/10/13,DPFallenLog,Nefu,M,A,6322,6322,,,Y,200,,,,N,N,NS,Radio collar 4.053,,,
18/10/13,WC14,Nefu,F,S,5770,5770,,1B79701FA3,N,140,I,S,N,,,,open field test,,,
13/4/14,WC37,Nefu,F,A,5535,5535,,1B79702B20,N,232,I,L,Y,,,,,,,
13/4/14,WC19,Nefu,F,A,5538,5538,,1B7970267F,Y,187,P,L,N,Y,,,Nursing,,,
13/4/14,WC27,Nefu,M,A,5540,5540,,1B79701E5D,N,190,,,,y,,NS,,,,
13/4/14,WC40,Nefu,M,A,5542,5542,,1B79702786,N,260,,,,,,NS,,,,
13/4/14,,Nefu,M,A,5571,5571,,1B79701F84,N,217,,,,,,S,,,,
13/4/14,WC34B,Nefu,M,A,5592,5592,,1B79701A40,N,270,,,,,,NS,,,,
13/4/14,WC18,Nefu,F,A,5789,5789,,1B7970286C,N,180,PP,M,Y,,,,Partially perforate,,,
13/4/14,WC10,Nefu,M,A,5798,5798,,1B797019C1,N,222,,,,,,NS,,,,
13/4/14,WC09,Nefu,M,A,6325,6325,,1B79701A33,N,185,,,,,,NS,,,,
13/4/14,WC39,Nefu,F,A,6351,6351,,1B79702761,N,207,I,L,N,,,,Nursing,,,
13/4/14,WC32,Nefu,F,A,6400,6400,,1B79701EB9,N,185,I,L,N,,,,,,,
13/4/14,WC41,Nefu,F,A,5765,,5765,,Y,225,I,L,P,Y,,,Possibly pregnant. Tail Rattle when released.,,,
11/5/14,WC40,Nefu,M,A,5542,5542,,1B79702786,N,235,,,,,,NS,,,,
11/5/14,WC15,Nefu,M,A,5579,5579,,,Y,235,,,,,,NS,Tail cut off on the end- not from the trap- previous injury,,,
11/5/14,WC26,Nefu,M,A,5726,5726,,1B79702CA5,Y,180,,,,,,NS,,,,
11/5/14,WC41,Nefu,F,A,5764,5764,,1B79702624,N,210,I,L,P,,,,"Two bottom nipples very swollen, but not top",,,
11/5/14,WC02B,Nefu,F,A,5770,5770,,1B79701FA3,N,170,I,M,N,,,,Dried milk on nipples,,,
11/5/14,WC30,Nefu,F,A,5789,5789,,1B7970286C,N,165,,,,,,,,,,
11/5/14,WC10,Nefu,M,A,5798,5798,,1B797019C1,N,180,,,,,,NS,,,,
11/5/14,WC09,Nefu,M,A,6325,6325,,1B79701A33,N,195,,,,,,NS,,,,
11/5/14,WC27,Nefu,M,A,5540,5540,,1B79701E5D,N,180,,,,,,NS,,,,
11/5/14,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,180,I,L,N,,,,Botton nipples swollen,,,
11/5/14,WC34B,Nefu,F,A,6399,,6399,1B797022F8,Y,246,P,M,N,,,,Very vocal-- did not put in RFID because animal seemed too stressed.,,,
7/6/14,WC01,Nefu,M,A,5571,5571,,1B79701F84,N,240,,,,N,N,NS,,,,
7/6/14,WC02B,Nefu,F,A,5770,5770,,1B79701FA3,N,175,I,M,N,N,N,,,,,
7/6/14,WC08C,Nefu,M,A,6325,6325,,1B79701A33,N,195,,,,N,N,NS,,,,
7/6/14,WC19,Nefu,F,J,6321,6321,6320,1B7970255C,Y,105,I,S,N,N,N,,whitish tail,,,
7/6/14,WC39,Nefu,F,A,5538,5538,,1B7970267F,N,165,I,L,N,,,,,,,
7/6/14,WC40,Nefu,M,A,5542,5542,,1B79702786,N,255,,,,,,NS,,,,
7/6/14,WC32,Nefu,M,J,6388,6388,,1B797021BB,Y,95,,,,Y,N,NS,,,,
7/6/14,WC21,Nefu,M,J,6387,6387,,1B7970276B,Y,125,,,,Y,N,NS,,,,
7/6/14,WC28,Nefu,M,J,5996,5996,,1B79701B35,Y,95,,,,Y,N,NS,,,,
12/7/14,WC02B,Nefu,F,A,5770,5770,,1B79701FA3,N,185,I,M,N,N,N,,"Scaly, patchy tail. Dried milk on nipples.",,,
12/7/14,WC15,Nefu,M,A,5571,5571,,1B79701F84,N,235,,,,N,N,NS,,,,
12/7/14,WC37,Nefu,F,A,5535,5535,,1B79702B20,N,194,I,L,N,N,N,,"Scaly, patchy tail. Dried milk on nipples.",,,
12/7/14,WC34B,Nefu,F,A,6399,,6399,1B797022F8,N,225,,,,N,N,NS,,,,
12/7/14,WC21,Nefu,F,A,5538,5538,,1B7970267F,N,230,I,M,N,N,N,,,,,
12/7/14,WC28,Nefu,M,=,5996,5996,,1B79701B35,N,,,,,N,N,NS,"Scaly, patchy tail.   ",,,
12/7/14,WC33,Nefu,M,S,6385,6385,,1B79702789,Y,115,,,,N,N,,,,,
12/7/14,WC19,Nefu,F,J,6321,6321,6320,1B79701D4E,Y,,I,S,N,N,N,,6320 and 6321 may be the same individual.,,,
17/10/14,WC10,Nefu,F,A ,6324,6324,,1B79701723,Y,145,I,S,N,,,,box test,,,
17/10/14,WC33,Nefu,M,A,6385,6385,,1B79702789,N ,155,,,,,,NS,box test- lost ear tag (6325),,,
17/10/14,WC02B,Nefu,F,A,5770,5770,,1B79701FA3,N,177,I,S,N,,,,box test- lost ear tag (5770),,,
17/10/14,WC06,Nefu,M,A,6325,6325,,1B79701A33,N,,,,,,,,box test ,,,
17/10/14,WC40,Nefu,M,A,5542,5542,,1B79702786,N ,,,,,,,,box test ,,,
17/10/14,WC19,Nefu,F,A,6321,6321,6320,1B7970255C,N,150,I,S,N,,,,box test ,,,
17/10/14,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,205,I,S,N,,,,"box test, cinnamon pelage",,,
28/6/15,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,202,P,L,N,N,N,,"dried milk on teat, radio 4.016",,,
28/6/15,WC32,Nefu,F,A,6321,6321,6320,1B797023B7,N,170,P,L,N,Y,N,,"RFID tag fell out, new one put in",,,
28/6/15,WC02B,Nefu,M,A,6325,6325,,1B79701A33,N,240,,,,,,,escaped bag before other measurements,,,
28/6/15,WC31,Nefu,F,A,6361,,6361,1B79702A01,N,121,P,S,N,Y,Y,,"purpleish vagina, radio 4.152",,,
28/6/15,WC12,Nefu,,J,,,,,Y,,,,,,,,escaped bag in decker before measurements,,,
28/6/15,WC34,Nefu,M,S,6348,6348,,1B7970228F,Y,160,,,,Y,N,NS,4.168 is radio collar,,,
28/6/15,WC42,Nefu,M,J,,,,,Y,110,,,,N,N,NS,"animal found dead in trap in am, died over night and was frozen, frozen sample weighed",,,
28/6/15,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,202,P,L,N,N,N,,"dried milk on teat, radio 4.016",,,
26/7/15,WC29,Nefu,F,A,5535,5535,,1B79702B20,N,190,I,S,P,Y,N,,,,,
26/7/15,WC35,Nefu,M,A,5592,5592,,1B79701A40,N,265,,,,Y,N,NS,collared today frequency 4.176,,,
23/8/15,WC06,Nefu,F,S,6397,,6397,1B79702564,Y,135,P,M,N,N,N,,"blueish vagina, went back into 6",,,
23/8/15,WC36,Nefu,F,A,6399,,6399,1B797022F8,N,205,I,N/A,N,N,N,,check RFID and other info,,,
23/8/15,WC12,Nefu,M,S,6347,6347,,1B797025F4,Y,160,,,,N,N,NS,"climbed into tree, may have been one that escaped",,,
23/8/15,WC31,Nefu,F,A,6361,,6361,1B79702A01,N,135,I,M,N,N,N,,,,,
23/8/15,WC34,Nefu,M,A,5592,5592,,1B79701A40,N,270,,,,N,N,NS,went in home,,,
23/8/15,WC28,Nefu,M,J,6337,6337,,1B79701982,Y,115,,,,N,N,NS,,,,
23/8/15,WC25,Nefu,M,A,6334,6334,,1B7970292D,Y,230,,,,Y,N,NS,went in home,,,
20/9/15,WC34,Nefu,M,A,5592,5592,,1B79701A40,N,275,,,,N,N,NS,collar on,,,
20/9/15,WC32,Nefu,F,A,6361,,6361,1B79702A01,N,140,I,S,N,n,n,,collar on,,,
15/11/15,WC35,Nefu,F,A,6399,,6399,1B797022F8,N,225,I,M,N,Y,N,,,,,
11/6/16,WC25,Nefu,M,S,6332,6332,,3BDDB090,Y,167,,,,N,Y,S,"had no RFID or ear tag, check genetic samples to see if same individual as in 25 last year, left ear was missing some pieces",,,
11/6/16,WC35,Nefu,F,A,6399,,6399,1B797022F8,N,230,P,L,N,,N,,"check if D or 0 next week, also check eartag (fuck was it a male, me think not?)",,,
11/6/16,WC08,Nefu,F,A,6397,,6397,1B797025C4,N,180,P,L,N,,N,NS,squeaking,,,
10/7/16,WC39,Nefu,M,S,6332,6332,,3BDDB090,N,185,,,,n,n,NS,,,,
10/7/16,WC02B,Nefu,F,J,6331,,6331,003BDDB060,Y,100,I,S,N,Y,N,,"very squirmy, went back to 2B; (writing bad)",,,
10/7/16,WC14,Nefu,F,A,6397,,6397,1B797025C4,N,160,I,L,N,N,N,,,,,
10/7/16,WC15,Nefu,M,J,5731,5731,,3BDDB099,Y,122,,,,Y,N,NS,"went past 15, into chemise",,,
10/7/16,WC19,Nefu,M,A,6347,6347,,1B797025F4,N,240,,,,N,N,NS,,,,
10/7/16,WC34,Nefu,F,J,6352,6352,,3BDDB086,Y,100,I,S,N,N,N,,"loud one, RFID stuck on back with ver bond, did not go in, likely need to replace next trapping session",,,
10/7/16,WC41,Nefu,,A,,,,,Y,,,,,,,,"Escaped out of bag, went into tree above 2B",,,
10/7/16,WC50,Nefu,F,J,6305,6305,6345/5732,003BDDB07F,Y,128,I,M,N,N,N,,went up into trees,,,
10/7/16,WC51,Nefu,M,J,6309,6309,,003BDDB0A8,Y,112,,,,N,N,NS,WENT INTO 45,,,
14/8/16,WC25,Nefu,M,S,6332,6332,,3BDDB090,N,180,,,,N,N,NS,,,,
14/8/16,WC15,Nefu,M,A,5731,5731,,3BDDB099,N,144,,,,N,Y,NS,"died after handling in transit, Philip Scruffed Him cause he almost escaped",,,
14/8/16,WC35,Nefu,M,J,5508,5508,,3BDDB063,Y,105,,,,N,N,S,EARTAG # CHANGED CAUSE I AM DYSLEXIC,,,
14/8/16,WC51,Nefu,M,S,6309,6309,,003BDDB07A,N,130,,,,N,Y,NS,NEW RFID TAG,,,
14/8/16,WC21,Nefu,F,J,6314,6314,,,Y,102,I,S,N,,Y,NS,HUNG OUT ABOVE 21; WRONG RFID NUMBER,,,
14/8/16,WC53,Nefu,F,A,6391,6391,,003BDDB04E,Y,190,P,L,N,N,N,,,,,
11/9/16,WC50,Nefu,F,A,6305,,5732,003BDDB07F,N,175,I,L,N,N,N,,"CHECK EAR TAG SITUATION, MIGHT BE NEW, MIGHT BE A NEW EAR TAG",,,
11/9/16,WC36,Nefu,M,S,5508,5508,,3BDDB09C,N,150,,,,N,N,NS,"HAD EARTAG, NO PIT TAG ,PIT TAGGED TODAY BUT WENT THROUGH BOTH SIDES, VETBONDED",,,
11/9/16,WC02,Nefu,M,S,5733,,5733,003BDDB076,Y,165,,,,Y,N,NS,LOTS OF FLEAS,,,
11/9/16,WC30,Nefu,,,,,,,N,,,,,,,,"ESCAPED INTO TREE, HAD EAR TAG",,,
11/9/16,WC06,Nefu,F,A,6397,,6397,1B797025C4,N,160,P,S,N,N,N,,"TAIL TRIP MAY HAVE GOTTEN TRAPPED, CHECK TO SEE IF 6 IS C",,,
11/9/16,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,215,I,S,N,N,N,,,,,
11/9/16,WC42,Nefu,M,S,6332,6332,,3BDDB090,N,185,,,,,,NS,,,,
